GameDate,HomeTeam,AwayTeam,OpeningHomeMoneyLine,OpeningAwayMoneyLine
2025-04-04,PHI,LAD,148,-175,2.5,-192,161,10.4,-143,-143
2025-04-04,ATL,MIA,-318,259,-1.9,-149,-136,12.6,-143,-143
2025-04-04,KC,BAL,-145,-140,2.5,-240,200,12.6,-145,-140
2025-04-04,TEX,TB,-175,148,-1.9,200,-240,11.0,-136,-149
2025-04-04,MIL,CIN,-168,143,-1.9,213,-257,10.4,-149,-136
2025-04-04,LAA,CLE,-132,-153,2.5,-227,188,10.4,-132,-153
2025-04-05,DET,CHW,-145,119,-0.9,-64,-64,2.5,-59,-68
2025-04-05,MIN,HOU,-75,64,-0.9,95,-115,2.5,-65,-63
2025-04-05,CHC,SD,-68,-59,0.5,-119,99,2.2,-71,59
2025-04-05,WSH,ARI,66,-78,0.5,-86,72,3.0,-70,58
2025-04-05,PHI,LAD,-63,-65,0.5,-102,84,2.9,-59,-67
2025-04-05,PIT,NYY,79,-94,0.5,-65,-63,3.2,-67,-61
2025-04-05,BOS,STL,-75,64,-0.9,89,-107,2.9,-68,-59
2025-04-05,KC,BAL,-67,-61,0.5,-126,104,2.7,-61,-67
2025-04-05,TEX,TB,-107,89,-0.9,70,-82,2.5,-63,-65
2025-04-05,NYM,TOR,-78,66,-0.9,93,-111,2.5,-67,-61
2025-04-05,MIL,CIN,-75,64,0.5,-119,99,2.7,-68,-59
2025-04-05,ATL,MIA,-150,122,-0.9,-75,64,3.0,59,-71
2025-04-05,COL,ATH,-65,-63,0.5,-102,84,3.2,-59,-68
2025-04-05,SF,SEA,-71,59,0.5,-119,99,2.5,-63,-65
2025-04-05,LAA,CLE,75,-90,0.5,-78,66,3.0,59,-71
2025-04-06,WSH,ARI,205,-246,2.8,-157,-143,10.2,-157,-143
2025-04-06,PHI,LAD,150,-177,2.8,-211,177,13.0,-166,139
2025-04-06,ATL,MIA,-232,194,-2.0,177,-211,10.2,-143,-157
2025-04-06,PIT,NYY,194,-232,2.8,-150,-150,11.6,-161,-139
2025-04-06,BOS,STL,-170,143,-2.0,218,-262,12.3,-153,-147
2025-04-06,DET,CHW,-252,210,-2.0,155,-184,10.2,-147,-153
2025-04-06,NYM,TOR,-211,177,-2.0,210,-252,13.0,-153,-147
2025-04-06,KC,BAL,-157,-143,2.8,-252,210,10.9,-139,-161
2025-04-06,MIL,CIN,-194,164,-2.0,198,-239,11.6,-147,-153
2025-04-06,MIN,HOU,-157,-143,2.8,-246,205,11.6,-153,-147
2025-04-06,CHC,SD,-202,169,-2.0,205,-246,10.2,-139,-161
2025-04-06,TEX,TB,-153,-147,2.8,-252,210,10.9,-147,-153
2025-04-06,COL,ATH,-157,-143,2.8,-239,198,14.3,-147,-153
2025-04-06,SF,SEA,-161,-139,2.8,-270,224,13.0,-170,143
2025-04-06,LAA,CLE,-153,-147,2.8,-232,194,13.0,139,-166
2025-04-07,DET,NYY,80,-96,0.6,-84,71,3.6,-70,-72
2025-04-07,PIT,STL,66,-79,0.6,-105,88,3.6,-66,-76
2025-04-07,WSH,LAD,97,-116,0.6,-66,-76,3.3,65,-78
2025-04-07,BOS,TOR,-84,71,-1.0,100,-120,3.3,-74,-68
2025-04-07,NYM,MIA,-180,146,-1.0,-81,68,2.9,-78,65
2025-04-07,KC,MIN,-78,65,0.6,-124,104,3.3,-66,-76
2025-04-07,CHC,TEX,-84,71,-1.0,116,-141,2.5,-72,-70
2025-04-07,ARI,BAL,-81,68,-1.0,104,-124,3.6,-68,-74
2025-04-07,SEA,HOU,-107,91,-1.0,91,-107,2.9,-78,65
2025-04-07,SF,CIN,-100,84,-1.0,97,-116,2.9,66,-79
2025-04-07,ATH,SD,84,-100,0.6,-84,71,3.6,-66,-76
2025-03-27,NYY,BAL,-127,107,-1.3,122,-146,5.9,-90,-99
2025-03-27,WSH,BOS,-94,-94,1.1,-165,137,6.3,-88,-101
2025-03-27,CHW,NYM,94,-112,1.1,-139,117,5.9,-94,-94
2025-03-27,MIA,SF,-105,88,1.1,-176,146,5.9,86,-103
2025-03-27,KC,ATL,-99,-90,1.1,-159,132,5.5,-99,-90
2025-03-27,STL,DET,86,-103,1.1,-155,129,4.8,-107,90
2025-03-27,ARI,ATH,-146,122,-1.3,117,-139,4.8,-107,90
2025-03-28,TB,BAL,-285,235,-2.0,-137,-150,10.5,-137,-150
2025-03-28,MIA,BOS,-170,144,-2.0,209,-251,11.1,-157,131
2025-03-28,HOU,CHC,-137,-150,2.6,-217,183,11.8,-137,-150
2025-03-28,SD,ATH,-186,157,-2.0,190,-229,11.8,-137,-141
2025-03-29,NYY,LAA,-87,73,-0.8,65,-77,2.5,-59,-56
2025-03-29,STL,BAL,71,-85,0.4,-63,52,2.2,-60,-55
2025-03-29,WSH,COL,-65,55,-0.8,84,-100,2.3,-59,-56
2025-03-29,MIA,SF,-104,86,-0.8,58,-68,2.3,52,-63
2025-03-29,KC,BOS,-63,52,0.4,-104,86,2.3,-60,-55
2025-03-29,HOU,ATL,-60,-55,0.4,-97,81,2.5,-55,-60
2025-03-29,ARI,DET,68,-81,0.4,-68,58,2.2,-56,-59
2025-03-30,WSH,BAL,-216,181,-2.2,212,-256,12.4,-158,-164
2025-03-30,TB,PIT,-197,167,-2.2,219,-263,13.1,146,-175
2025-03-30,CIN,LAA,-183,153,-2.2,248,-300,11.0,-172,-149
2025-03-30,KC,MIN,153,-183,3.2,-226,190,12.4,-158,-164
2025-03-30,TEX,CHC,-158,-164,3.2,-263,219,12.4,-149,-172
2025-03-30,SEA,ATL,-178,149,3.2,-289,240,13.1,-153,-168
2025-03-31,CHW,KC,111,-134,0.7,-71,-78,3.2,-83,69
2025-03-31,BAL,COL,-81,68,0.7,-130,108,3.9,-78,-71
2025-03-31,MIA,TEX,-220,176,-1.0,-100,84,4.1,-71,-78
2025-03-31,TB,WSH,68,-81,0.7,-105,88,4.1,68,-81
2025-03-31,STL,SF,-118,98,-1.0,81,-96,3.9,-76,-73
2025-03-31,SD,DET,-91,77,-1.0,111,-134,3.7,-71,-78
2025-03-31,ATH,ATL,-83,69,-1.0,115,-139,3.2,-78,-71
2025-04-01,MIA,TEX,93,-111,0.8,-97,82,3.8,-82,-75
2025-04-01,TB,ARI,93,-111,0.8,-93,79,4.3,-80,-77
2025-04-01,TOR,MIN,75,-89,0.8,-116,97,4.3,-75,-82
2025-04-01,MIL,LAA,100,-119,0.8,-93,79,3.8,73,-87
2025-04-01,HOU,CLE,-102,86,-1.1,104,-125,4.1,-80,-77
2025-04-01,SEA,CHC,-129,107,-1.1,89,-106,3.8,-73,-84
2025-04-02,CIN,PIT,-202,171,-2.2,231,-277,12.7,-168,-162
2025-04-02,MIL,LAA,-157,-172,3.4,-277,231,10.5,-172,-157
2025-04-02,CHW,WSH,-232,195,-2.2,210,-249,12.7,-168,-162
2025-04-02,ATH,SF,-168,-162,3.4,-277,231,12.0,-177,-153
2025-04-02,SD,DET,-262,217,-2.2,180,-213,11.2,153,-183
2025-04-02,MIA,BOS,157,-187,3.4,-270,225,14.6,-153,-177
2025-04-02,PHI,ARI,165,-195,3.4,-243,204,11.2,-172,-157
2025-04-03,BAL,COL,-98,82,-1.2,125,-150,5.8,-80,-92
2025-04-03,MIN,ARI,-176,145,-1.2,-98,82,6.1,-84,-88
2025-04-04,DET,STL,-343,279,-1.9,-156,130,11.8,-153,-132
2025-04-04,CHC,TOR,-158,132,2.5,-249,207,12.3,-143,-143
2025-04-04,COL,NYY,-184,156,-1.9,200,-240,12.6,-140,-145
2025-04-04,SF,ARI,194,-233,2.5,-149,-136,12.6,-149,-136
2025-04-04,PHI,MIA,176,-210,2.5,-162,136,11.0,-136,-149
2025-04-04,KC,TB,-318,259,-1.9,-149,-136,12.6,-143,-143
2025-04-04,MIL,CLE,-175,148,-1.9,200,-240,11.0,-136,-149
2025-04-05,DET,HOU,-145,119,-0.9,-64,-64,2.5,-59,-68
2025-04-05,CHC,ARI,-75,64,-0.9,95,-115,2.5,-65,-63
